,valence,valence,valence,danceability,danceability,danceability,energy,energy,energy,acousticness,acousticness,acousticness
,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>
first_observed_year,,,,,,,,,,,,
1960,0.661,0.4265,0.87875,0.519,0.419,0.612,0.436,0.2925,0.5945,0.7384999999999999,0.5595000000000001,0.843
1961,0.708,0.471,0.877,0.535,0.438,0.633,0.462,0.326,0.632,0.721,0.539,0.841
1962,0.705,0.48075,0.88125,0.549,0.43975,0.65625,0.4465,0.314,0.64,0.7064999999999999,0.49424999999999997,0.8214999999999999
1963,0.712,0.485,0.874,0.538,0.425,0.639,0.495,0.3375,0.675,0.656,0.446,0.792
1964,0.735,0.525,0.887,0.545,0.438,0.6385000000000001,0.542,0.3995,0.69,0.607,0.358,0.757
1965,0.6884999999999999,0.481,0.86675,0.5295000000000001,0.42,0.628,0.544,0.41025,0.6697500000000001,0.547,0.291,0.74475
1966,0.7155,0.53125,0.85775,0.552,0.4415,0.644,0.5385,0.411,0.6757500000000001,0.4715,0.2275,0.704
1967,0.677,0.4935,0.822,0.53,0.434,0.6355,0.526,0.402,0.658,0.456,0.1995,0.671
1968,0.685,0.499,0.8222499999999999,0.548,0.432,0.652,0.5155000000000001,0.383,0.642,0.4045,0.1855,0.64125
1969,0.6815,0.491,0.8402499999999999,0.531,0.414,0.63,0.5115000000000001,0.40075000000000005,0.671,0.379,0.186,0.63325
1970,0.694,0.469,0.826,0.5355000000000001,0.42874999999999996,0.63025,0.5535000000000001,0.40175000000000005,0.703,0.3555,0.122,0.59725
1971,0.69,0.5085,0.857,0.543,0.4355,0.6455,0.543,0.424,0.7075,0.391,0.163,0.635
1972,0.6525000000000001,0.4655,0.83175,0.543,0.43425,0.64575,0.5485,0.404,0.7155,0.388,0.1775,0.641
1973,0.71,0.5125,0.856,0.562,0.4605,0.674,0.563,0.424,0.7015,0.375,0.145,0.633
1974,0.73,0.54,0.868,0.596,0.489,0.684,0.609,0.459,0.734,0.307,0.112,0.558
1975,0.72,0.516,0.865,0.5914999999999999,0.4915,0.67125,0.608,0.456,0.75,0.278,0.10175,0.5305
1976,0.718,0.4905,0.861,0.602,0.4915,0.69,0.63,0.4895,0.781,0.23,0.08274999999999999,0.4505
1977,0.6845000000000001,0.48824999999999996,0.835,0.5974999999999999,0.5015000000000001,0.6815,0.6045,0.4675,0.7645,0.1985,0.065875,0.466
1978,0.719,0.52125,0.87075,0.619,0.50425,0.707,0.621,0.452,0.749,0.1685,0.046474999999999995,0.372
1979,0.776,0.55325,0.897,0.643,0.5387500000000001,0.739,0.6505000000000001,0.501,0.775,0.132,0.034425000000000004,0.32725000000000004
1980,0.7084999999999999,0.493,0.843,0.6,0.50925,0.71775,0.617,0.456,0.7645,0.19,0.0591,0.38475000000000004
1981,0.662,0.404,0.822,0.61,0.51,0.71,0.57,0.439,0.726,0.216,0.0887,0.457
1982,0.724,0.532,0.876,0.63,0.535,0.743,0.609,0.485,0.753,0.155,0.0574,0.363
1983,0.7155,0.55425,0.8432499999999999,0.6425000000000001,0.53325,0.724,0.6735,0.51225,0.8037500000000001,0.11699999999999999,0.028125,0.25875000000000004
1984,0.725,0.535,0.86625,0.6395,0.56,0.744,0.711,0.5885,0.824,0.0912,0.023825,0.23875
1985,0.7284999999999999,0.53625,0.871,0.656,0.567,0.73875,0.7095,0.5905,0.83675,0.106,0.0323,0.275
1986,0.702,0.524,0.853,0.6405000000000001,0.563,0.7142499999999999,0.721,0.546,0.8252499999999999,0.1025,0.037025,0.264
1987,0.702,0.517,0.864,0.633,0.557,0.713,0.724,0.579,0.832,0.0988,0.0267,0.235
1988,0.668,0.49575,0.85575,0.6565000000000001,0.5632499999999999,0.73475,0.686,0.54625,0.8214999999999999,0.108,0.02885,0.27975000000000005
1989,0.67,0.449,0.832,0.624,0.535,0.715,0.721,0.569,0.846,0.0928,0.0256,0.233
1990,0.646,0.4225,0.8165,0.645,0.5415000000000001,0.726,0.716,0.5537500000000001,0.852,0.0733,0.018725,0.22425
1991,0.6335,0.4105,0.7805,0.6505000000000001,0.56775,0.728,0.6875,0.5467500000000001,0.8232499999999999,0.06559999999999999,0.011574999999999998,0.203
1992,0.626,0.421,0.756,0.653,0.558,0.747,0.698,0.5385,0.8174999999999999,0.0598,0.0127,0.2015
1993,0.5865,0.45,0.7464999999999999,0.6665000000000001,0.56375,0.769,0.642,0.50425,0.772,0.07565,0.015875,0.23075
1994,0.584,0.422,0.7555000000000001,0.67,0.549,0.7645,0.658,0.5015000000000001,0.7795000000000001,0.119,0.03005,0.285
