first_observed_year,count,median
1990,320,4.462441666666667
1991,315,4.4351
1992,295,4.4844333333333335
1993,280,4.406325
1994,267,4.253333333333333
1995,258,4.304766666666667
1996,236,4.339
1997,259,4.216666666666667
1998,298,4.077766666666666
1999,282,4.064883333333333
2000,282,4.06555
2001,250,4.01055
2002,278,3.9968833333333333
2003,290,3.997325
2004,285,3.92555
2005,328,3.916991666666666
2006,342,3.840658333333333
2007,313,3.836883333333333
2008,364,3.85255
2009,405,3.7784333333333335
2010,428,3.75655
2011,464,3.687883333333333
2012,349,3.7957666666666663
2013,356,3.7670999999999997
2014,346,3.6719999999999997
2015,379,3.5789833333333334
2016,388,3.6224333333333334
2017,433,3.530883333333333
2018,554,3.4315083333333334
2019,497,3.2306166666666667
