decade,genre_bucket,count,median
1960,christian,2,0.7295
1960,country,246,0.722
1960,dance,23,0.384
1960,latin,6,0.567
1960,other,157,0.628
1960,pop,287,0.561
1960,r&b,1459,0.529
1960,rap,34,0.571
1960,rock,1319,0.411
1960,traditional,1145,0.714
1960,unlabeled,544,0.632
1970,christian,12,0.279
1970,country,243,0.576
1970,dance,155,0.107
1970,latin,3,0.228
1970,other,107,0.314
1970,pop,290,0.2815
1970,r&b,1097,0.296
1970,rap,20,0.1675
1970,rock,1727,0.237
1970,traditional,247,0.435
1970,unlabeled,309,0.254
1980,christian,4,0.13119999999999998
1980,country,98,0.3185
1980,dance,114,0.07935
1980,latin,21,0.0741
1980,other,59,0.108
1980,pop,160,0.1355
1980,r&b,523,0.142
1980,rap,53,0.0239
1980,rock,2140,0.112
1980,traditional,117,0.259
1980,unlabeled,215,0.129
1990,christian,18,0.2495
1990,country,208,0.2465
1990,dance,218,0.024149999999999998
1990,latin,19,0.0486
1990,other,72,0.049100000000000005
1990,pop,294,0.08755
1990,r&b,517,0.137
1990,rap,369,0.0507
1990,rock,797,0.0666
1990,traditional,37,0.107
1990,unlabeled,256,0.09265000000000001
2000,christian,13,0.00605
2000,country,627,0.169
2000,dance,18,0.015
2000,latin,27,0.2
2000,other,48,0.1515
2000,pop,869,0.0605
2000,r&b,297,0.153
2000,rap,617,0.0644
2000,rock,515,0.00587
2000,traditional,17,0.292
2000,unlabeled,75,0.116
2010,christian,7,0.223
2010,country,667,0.094
2010,dance,100,0.04165
2010,latin,54,0.209
2010,other,87,0.252
2010,pop,1515,0.0735
2010,r&b,87,0.141
2010,rap,1397,0.0853
2010,rock,173,0.0244
2010,traditional,25,0.59
2010,unlabeled,63,0.164
