rank,song,performer,genre_bucket,decade,points,weeks,peak,weeks_at_one,decades
1,Radioactive,Imagine Dragons,rock,2010,5932,87,3,0,2010s
2,How Do I Live,LeAnn Rimes,country,1990,5615,69,2,0,1990s
3,Foolish Games/You Were Meant For Me,Jewel,rock,1990,5499,65,2,0,1990s
4,I'm Yours,Jason Mraz,pop,2000,5433,76,6,0,2000s
5,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,pop,2010,5351,68,1,6,2010s
6,Shape Of You,Ed Sheeran,pop,2010,5202,58,1,12,2010s
7,Counting Stars,OneRepublic,pop,2010,5079,68,2,0,2010s
8,Uptown Funk!,Mark Ronson Featuring Bruno Mars,pop,2010,4963,56,1,14,2010s
9,Rolling In The Deep,Adele,pop,2010,4958,65,1,7,2010s
10,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,rap,2010,4860,53,1,1,2010s
